ï»¿Feb 18, 2025 13:49:29.982550000 India S\tandard Timet192.168.226.99t140.82.114.21t6t1424t1370tt0.000000000t1739866769.982550000
Feb 18, 2025 13:49:30.484678000 India S\tandard Timet192.168.226.99t140.82.114.21t6t54t0tt0.054279000t1739866770.484678000
Feb 18, 2025 13:49:30.634977000 India S\tandard Timet140.82.114.21t192.168.226.99t6t516t462tt0.150299000t1739866770.634977000
Feb 18, 2025 13:49:30.686212000 India S\tandard Timet192.168.226.99t140.82.114.21t6t54t0tt0.051235000t1739866770.686212000
Feb 18, 2025 13:49:30.714932000 India S\tandard Timetttt86ttt0.028720000t1739866770.714932000
Feb 18, 2025 13:49:30.715006000 India S\tandard Timetttt86ttt0.000074000t1739866770.715006000
Feb 18, 2025 13:49:30.891941000 India S\tandard Timet192.168.226.99t52.182.143.213t6t167t113tt0.176935000t1739866770.891941000
Feb 18, 2025 13:49:30.892013000 India S\tandard Timet192.168.226.99t52.182.143.213t6t93t39tt0.000072000t1739866770.892013000
Feb 18, 2025 13:49:30.892044000 India S\tandard Timet192.168.226.99t52.182.143.213t6t1424t1370tt0.000031000t1739866770.892044000
Feb 18, 2025 13:49:30.892044000 India S\tandard Timet192.168.226.99t52.182.143.213t6t1424t1370tt0.000000000t1739866770.892044000
Feb 18, 2025 13:49:30.892044000 India S\tandard Timet192.168.226.99t52.182.143.213t6t1424t1370tt0.000000000t1739866770.892044000
Feb 18, 2025 13:49:30.892044000 India S\tandard Timet192.168.226.99t52.182.143.213t6t127t73tt0.000000000t1739866770.892044000
Feb 18, 2025 13:49:31.388203000 India S\tandard Timet52.182.143.213t192.168.226.99t6t54t0tt0.496159000t1739866771.388203000
Feb 18, 2025 13:49:31.388203000 India S\tandard Timet52.182.143.213t192.168.226.99t6t54t0tt0.000000000t1739866771.388203000
Feb 18, 2025 13:49:31.388203000 India S\tandard Timet52.182.143.213t192.168.226.99t6t93t39tt0.000000000t1739866771.388203000
Feb 18, 2025 13:49:31.431552000 India S\tandard Timet192.168.226.99t52.182.143.213t6t54t0tt0.043349000t1739866771.431552000
Feb 18, 2025 13:49:32.029010000 India S\tandard Timet52.182.143.213t192.168.226.99t6t153t99tt0.597458000t1739866772.029010000
Feb 18, 2025 13:49:32.030306000 India S\tandard Timet192.168.226.99t52.182.143.213t6t89t35tt0.001296000t1739866772.030306000
Feb 18, 2025 13:49:32.671733000 India S\tandard Timet52.182.143.213t192.168.226.99t6t54t0tt0.641427000t1739866772.671733000
Feb 18, 2025 13:49:33.749092000 India S\tandard Timetttt273tt219t1.077359000t1739866773.749092000
Feb 18, 2025 13:49:33.749183000 India S\tandard Timetttt273tt219t0.000091000t1739866773.749183000
Feb 18, 2025 13:49:33.749245000 India S\tandard Timetttt274tt220t0.000062000t1739866773.749245000
Feb 18, 2025 13:49:33.753672000 India S\tandard Timetttt258t184tt0.004427000t1739866773.753672000
Feb 18, 2025 13:49:33.827574000 India S\tandard Timetttt653tt599t0.073902000t1739866773.827574000
Feb 18, 2025 13:49:33.827574000 India S\tandard Timetttt85tt31t0.000000000t1739866773.827574000
Feb 18, 2025 13:49:33.828173000 India S\tandard Timetttt98tt44t0.000599000t1739866773.828173000
Feb 18, 2025 13:49:33.829192000 India S\tandard Timetttt1073tt1019t0.001019000t1739866773.829192000
Feb 18, 2025 13:49:33.829595000 India S\tandard Timetttt122tt68t0.000403000t1739866773.829595000
Feb 18, 2025 13:49:33.829662000 India S\tandard Timetttt122tt68t0.000067000t1739866773.829662000
Feb 18, 2025 13:49:33.829714000 India S\tandard Timetttt122tt68t0.000052000t1739866773.829714000
Feb 18, 2025 13:49:33.833602000 India S\tandard Timetttt90tt36t0.003888000t1739866773.833602000
Feb 18, 2025 13:49:33.833602000 India S\tandard Timetttt594tt540t0.000000000t1739866773.833602000
Feb 18, 2025 13:49:33.833849000 India S\tandard Timetttt98tt44t0.000247000t1739866773.833849000
Feb 18, 2025 13:49:33.834367000 India S\tandard Timetttt85tt31t0.000518000t1739866773.834367000
Feb 18, 2025 13:49:33.834367000 India S\tandard Timetttt74t0tt0.000000000t1739866773.834367000
Feb 18, 2025 13:49:33.836461000 India S\tandard Timetttt593tt539t0.002094000t1739866773.836461000
Feb 18, 2025 13:49:33.836461000 India S\tandard Timetttt85tt31t0.000000000t1739866773.836461000
Feb 18, 2025 13:49:33.836672000 India S\tandard Timetttt98tt44t0.000211000t1739866773.836672000
Feb 18, 2025 13:49:33.837735000 India S\tandard Timetttt1292tt1238t0.001063000t1739866773.837735000
Feb 18, 2025 13:49:33.837767000 India S\tandard Timetttt1292tt1238t0.000032000t1739866773.837767000
Feb 18, 2025 13:49:33.837789000 India S\tandard Timetttt1292tt1238t0.000022000t1739866773.837789000
Feb 18, 2025 13:49:33.837889000 India S\tandard Timetttt141tt87t0.000100000t1739866773.837889000
Feb 18, 2025 13:49:33.838021000 India S\tandard Timetttt1288tt1234t0.000132000t1739866773.838021000
Feb 18, 2025 13:49:33.838053000 India S\tandard Timetttt1292tt1238t0.000032000t1739866773.838053000
Feb 18, 2025 13:49:33.838072000 India S\tandard Timetttt202tt148t0.000019000t1739866773.838072000
Feb 18, 2025 13:49:33.863404000 India S\tandard Timetttt95tt41t0.025332000t1739866773.863404000
Feb 18, 2025 13:49:33.902329000 India S\tandard Timetttt102tt48t0.038925000t1739866773.902329000
Feb 18, 2025 13:49:33.902329000 India S\tandard Timetttt89tt35t0.000000000t1739866773.902329000
Feb 18, 2025 13:49:33.902329000 India S\tandard Timetttt90tt36t0.000000000t1739866773.902329000
Feb 18, 2025 13:49:33.902329000 India S\tandard Timetttt86tt32t0.000000000t1739866773.902329000
Feb 18, 2025 13:49:33.902329000 India S\tandard Timetttt593tt539t0.000000000t1739866773.902329000
Feb 18, 2025 13:49:33.902329000 India S\tandard Timetttt85tt31t0.000000000t1739866773.902329000
Feb 18, 2025 13:49:33.902425000 India S\tandard Timetttt594tt540t0.000096000t1739866773.902425000
Feb 18, 2025 13:49:33.902425000 India S\tandard Timetttt85tt31t0.000000000t1739866773.902425000
Feb 18, 2025 13:49:33.902425000 India S\tandard Timetttt102tt48t0.000000000t1739866773.902425000
Feb 18, 2025 13:49:33.902634000 India S\tandard Timetttt94tt40t0.000209000t1739866773.902634000
Feb 18, 2025 13:49:33.902753000 India S\tandard Timetttt98tt44t0.000119000t1739866773.902753000
Feb 18, 2025 13:49:33.902817000 India S\tandard Timetttt98tt44t0.000064000t1739866773.902817000
Feb 18, 2025 13:49:33.903039000 India S\tandard Timetttt1292tt1238t0.000222000t1739866773.903039000
Feb 18, 2025 13:49:33.903039000 India S\tandard Timetttt1292tt1238t0.000000000t1739866773.903039000
Feb 18, 2025 13:49:33.924013000 India S\tandard Timetttt90tt36t0.020974000t1739866773.924013000
Feb 18, 2025 13:49:33.956726000 India S\tandard Timetttt94tt40t0.032713000t1739866773.956726000
Feb 18, 2025 13:49:33.956836000 India S\tandard Timetttt1292tt1238t0.000110000t1739866773.956836000
Feb 18, 2025 13:49:33.961675000 India S\tandard Timetttt1292tt1238t0.004839000t1739866773.961675000
Feb 18, 2025 13:49:33.961675000 India S\tandard Timetttt478tt424t0.000000000t1739866773.961675000
Feb 18, 2025 13:49:33.961675000 India S\tandard Timetttt876tt822t0.000000000t1739866773.961675000
Feb 18, 2025 13:49:33.961675000 India S\tandard Timetttt272tt218t0.000000000t1739866773.961675000
Feb 18, 2025 13:49:33.961675000 India S\tandard Timetttt86tt32t0.000000000t1739866773.961675000
Feb 18, 2025 13:49:33.962638000 India S\tandard Timetttt140tt86t0.000963000t1739866773.962638000
Feb 18, 2025 13:49:33.962709000 India S\tandard Timetttt93tt39t0.000071000t1739866773.962709000
Feb 18, 2025 13:49:33.987889000 India S\tandard Timetttt94tt40t0.025180000t1739866773.987889000
Feb 18, 2025 13:49:33.990674000 India S\tandard Timetttt86tt32t0.002785000t1739866773.990674000
Feb 18, 2025 13:49:34.000012000 India S\tandard Timetttt571tt517t0.009338000t1739866774.000012000
Feb 18, 2025 13:49:34.000012000 India S\tandard Timetttt85tt31t0.000000000t1739866774.000012000
Feb 18, 2025 13:49:34.000341000 India S\tandard Timetttt98tt44t0.000329000t1739866774.000341000
Feb 18, 2025 13:49:34.001338000 India S\tandard Timetttt1292tt1238t0.000997000t1739866774.001338000
Feb 18, 2025 13:49:34.001371000 India S\tandard Timetttt1292tt1238t0.000033000t1739866774.001371000
Feb 18, 2025 13:49:34.001481000 India S\tandard Timetttt142tt88t0.000110000t1739866774.001481000
Feb 18, 2025 13:49:34.002765000 India S\tandard Timetttt127tt73t0.001284000t1739866774.002765000
Feb 18, 2025 13:49:34.003285000 India S\tandard Timetttt109tt55t0.000520000t1739866774.003285000
Feb 18, 2025 13:49:34.004535000 India S\tandard Timetttt83tt29t0.001250000t1739866774.004535000
